Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
9.94604,0.028014,0,0.00151698,109.307,10284
19.3967,0.054027,1,0.00151775,103.81,10284
28.3967,0.08004,2,0.00151965,98.51,10284
37.2039,0.106053,3,0.00152264,93.5474,10284
45.6532,0.132066,4,0.00152629,88.8025,10284
53.716,0.158079,5,0.00153158,84.1825,10284
61.5485,0.184092,6,0.00153748,79.8446,10284
69.0097,0.210105,7,0.00154485,75.703,10284
76.2287,0.236118,8,0.00155332,71.9729,10284
83.2475,0.262131,9,0.00156399,68.3159,10284
90.1456,0.288144,10,0.00157729,64.7961,10284
96.977,0.314157,11,0.00159244,61.5544,10284
103.756,0.34017,12,0.00161205,58.305,10284
110.458,0.366183,13,0.00163607,55.2674,10284
117.101,0.392196,14,0.00166563,52.3734,10284
123.752,0.418209,15,0.00170303,49.5827,10284
130.331,0.444222,16,0.00174629,47.0415,10284
136.89,0.470235,17,0.00178787,44.5706,10284
143.437,0.496248,18,0.00184528,42.2444,10284
150.13,0.522261,19,0.00191802,39.9782,10284
156.571,0.548274,20,0.002021,37.8885,10284
162.991,0.574287,21,0.00214235,35.8817,10284
169.403,0.6003,22,0.00243092,33.9525,10284
175.802,0.626313,23,0.00264311,32.125,10284
182.218,0.652326,24,0.0030502,30.3164,10284
188.585,0.678339,25,0.00371699,28.414,10284
194.978,0.704352,26,0.00531754,26.4785,10284
201.339,0.730365,27,0.0595706,24.5846,10284
207.409,0.756378,27,nan,25.4921,10284
213.47,0.782391,28,nan,24.131,10284
219.515,0.808404,29,nan,22.7673,10284
