Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
141.671,0.101,0,0.0717811,1167.87,134754
349.123,0.201,1,0.143236,1043.1,121279
518.3,0.301,2,0.214466,938.729,109152
669.395,0.401,3,0.28651,846.616,98237
798.374,0.501,4,0.359567,762.689,88414
908.585,0.601,5,0.436715,686.741,79573
1007.04,0.701,6,0.51747,617.94,71612
1164.87,0.805,7,0.567392,785.69,90975
1282.64,0.905,8,0.708159,693.123,81779
1388.56,1.005,9,0.962295,612.337,73162
1557.92,1.109,10,0.997083,822.139,97716
1692.66,1.209,11,1.28347,724.55,87741
1811.55,1.309,12,1.89049,639.101,78618
1913.82,1.409,13,3.25188,562.71,70240
2062.9,1.513,14,nan,842.481,100982
2180.89,1.613,15,nan,763.21,90831
2284.95,1.713,16,nan,687.558,81644
2374.69,1.813,17,nan,618.147,73377
2486,1.917,18,nan,554.084,65823
2589.07,2.021,19,nan,496.701,59022
2687.05,2.125,20,nan,445.002,52901
2775.77,2.229,21,nan,398.416,47412
2855.05,2.333,22,nan,355.745,42454
2932.18,2.437,23,nan,318.699,38001
3001.2,2.541,24,nan,285.648,34023
3063.19,2.645,25,nan,255.236,30399
3123.21,2.749,26,nan,228.251,27162
3182.19,2.853,27,nan,203.976,24248
3239.04,2.957,28,nan,182.923,21700
3289.64,3.061,29,nan,164.056,19454
3339,3.165,30,nan,146.265,17419
3385.97,3.269,31,nan,130.724,15591
3428.46,3.373,32,nan,116.853,13976
3468.97,3.477,33,nan,104.226,12484
3509.09,3.581,34,nan,93.5145,11198
3548.92,3.685,35,nan,83.5986,10007
3588.23,3.789,36,nan,74.5998,8944
3628.74,3.893,37,nan,66.6927,7981
3666.51,3.997,38,nan,59.6875,7165
3703.87,4.101,39,nan,53.0514,6415
3741.3,4.205,40,nan,47.4027,5762
3778.84,4.309,41,nan,42.8892,5211
3816.27,4.413,42,nan,38.6111,4714
3853.79,4.517,43,nan,34.6155,4243
3892.12,4.621,44,nan,31.194,3823
3931.12,4.725,45,nan,28.1807,3456
3969.17,4.829,46,nan,25.5243,3125
4007.05,4.933,47,nan,23.0983,2817
4045.41,5.037,48,nan,20.8514,2537
4083.28,5.141,49,nan,18.9598,2304
